INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [5: 325/1125]  train_loss=4.204  val_loss=8.317
INFO:Train: [5: 350/1125]  train_loss=5.454  val_loss=8.317
INFO:Train: [5: 375/1125]  train_loss=6.295  val_loss=8.317
INFO:Train: [5: 400/1125]  train_loss=7.162  val_loss=8.318
INFO:Train: [5: 425/1125]  train_loss=6.822  val_loss=8.316
INFO:Train: [5: 450/1125]  train_loss=5.492  val_loss=8.316
INFO:Train: [5: 475/1125]  train_loss=10.7  val_loss=8.315
INFO:Train: [5: 500/1125]  train_loss=6.839  val_loss=8.315
INFO:Train: [5: 525/1125]  train_loss=8.515  val_loss=8.316
INFO:Train: [5: 550/1125]  train_loss=3.592  val_loss=8.316
INFO:Train: [5: 575/1125]  train_loss=3.417  val_loss=8.315
INFO:Train: [5: 600/1125]  train_loss=13.07  val_loss=8.316
INFO:Train: [5: 625/1125]  train_loss=42.22  val_loss=8.324
INFO:Train: [5: 650/1125]  train_loss=16.5  val_loss=8.328
INFO:Train: [5: 675/1125]  train_loss=9.998  val_loss=8.328
INFO:Train: [5: 700/1125]  train_loss=5.551  val_loss=8.326
INFO:Train: [5: 725/1125]  train_loss=6.144  val_loss=12.12
INFO:Train: [5: 750/1125]  train_loss=14.43  val_loss=13.66
INFO:Train: [5: 775/1125]  train_loss=6.403  val_loss=13.69
INFO:Train: [5: 800/1125]  train_loss=13.74  val_loss=13.77
INFO:Train: [5: 825/1125]  train_loss=12.56  val_loss=13.8
INFO:Train: [5: 850/1125]  train_loss=13.29  val_loss=13.95
INFO:Train: [5: 875/1125]  train_loss=13.29  val_loss=13.91
INFO:Train: [5: 900/1125]  train_loss=13.94  val_loss=13.86
INFO:Train: [5: 925/1125]  train_loss=9.05  val_loss=14.43
INFO:Train: [5: 950/1125]  train_loss=8.731  val_loss=14.47
INFO:Train: [5: 975/1125]  train_loss=31.85  val_loss=14.55
INFO:Train: [5: 1000/1125]  train_loss=11.67  val_loss=14.65
INFO:Train: [5: 1025/1125]  train_loss=4.748  val_loss=14.57
INFO:Train: [5: 1050/1125]  train_loss=6.267  val_loss=14.73
INFO:Train: [5: 1075/1125]  train_loss=7.542  val_loss=14.29
INFO:Train: [5: 1100/1125]  train_loss=20.96  val_loss=14.38
INFO:Train: [5: 1125/1125]  train_loss=5.744  val_loss=15.39
INFO:Train: [5: 1125/1125]  train_loss=6.39e+04  val_loss=15.39
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_5epochs.pth
INFO:Train: [6: 25/1125]  train_loss=18.83  val_loss=10.67
INFO:Train: [6: 50/1125]  train_loss=23.24  val_loss=10.49
INFO:Train: [6: 75/1125]  train_loss=14.82  val_loss=10.3
INFO:Train: [6: 100/1125]  train_loss=2.74  val_loss=10.3
INFO:Train: [6: 125/1125]  train_loss=12.44  val_loss=10.23
INFO:Train: [6: 150/1125]  train_loss=8.307  val_loss=10.14
INFO:Train: [6: 175/1125]  train_loss=4.206  val_loss=10.06
INFO:Train: [6: 200/1125]  train_loss=3.372  val_loss=11.67
INFO:Train: [6: 225/1125]  train_loss=7.757  val_loss=11.08
INFO:Train: [6: 250/1125]  train_loss=8.584  val_loss=11.05
INFO:Train: [6: 275/1125]  train_loss=12.26  val_loss=11.05
INFO:Train: [6: 300/1125]  train_loss=6.849  val_loss=11.05
INFO:Train: [6: 325/1125]  train_loss=10.19  val_loss=11.05
INFO:Train: [6: 350/1125]  train_loss=5818  val_loss=11.05
INFO:Train: [6: 375/1125]  train_loss=18.65  val_loss=11.05
INFO:Train: [6: 400/1125]  train_loss=13.69  val_loss=11.05
INFO:Train: [6: 425/1125]  train_loss=6.849  val_loss=11.05
INFO:Train: [6: 450/1125]  train_loss=5.671  val_loss=11.05
INFO:Train: [6: 475/1125]  train_loss=9.875  val_loss=11.05
INFO:Train: [6: 500/1125]  train_loss=8.368  val_loss=11.05
INFO:Train: [6: 525/1125]  train_loss=6.73  val_loss=11.05
INFO:Train: [6: 550/1125]  train_loss=9.066  val_loss=11.05
INFO:Train: [6: 575/1125]  train_loss=3.413  val_loss=11.05
INFO:Train: [6: 600/1125]  train_loss=8.753  val_loss=11.05
INFO:Train: [6: 625/1125]  train_loss=11.7  val_loss=11.05
INFO:Train: [6: 650/1125]  train_loss=5.827  val_loss=11.05
INFO:Train: [6: 675/1125]  train_loss=8.765  val_loss=11.05
INFO:Train: [6: 700/1125]  train_loss=3.199  val_loss=11.05
INFO:Train: [6: 725/1125]  train_loss=3.196  val_loss=11.05
INFO:Train: [6: 750/1125]  train_loss=10.11  val_loss=11.05
INFO:Train: [6: 775/1125]  train_loss=4.502  val_loss=11.05
INFO:Train: [6: 800/1125]  train_loss=12.23  val_loss=11.05
INFO:Train: [6: 825/1125]  train_loss=21.41  val_loss=11.05
INFO:Train: [6: 850/1125]  train_loss=14.57  val_loss=11.05
INFO:Train: [6: 875/1125]  train_loss=16.28  val_loss=11.05
INFO:Train: [6: 900/1125]  train_loss=9.952  val_loss=11.05
INFO:Train: [6: 925/1125]  train_loss=11.85  val_loss=11.05
INFO:Train: [6: 950/1125]  train_loss=7.113  val_loss=11.05
INFO:Train: [6: 975/1125]  train_loss=4.598  val_loss=11.05
INFO:Train: [6: 1000/1125]  train_loss=11.55  val_loss=11.05
INFO:Train: [6: 1025/1125]  train_loss=9.091  val_loss=11.05
INFO:Train: [6: 1050/1125]  train_loss=8.664  val_loss=11.05
INFO:Train: [6: 1075/1125]  train_loss=4.506  val_loss=11.05
INFO:Train: [6: 1100/1125]  train_loss=7.112  val_loss=11.05
INFO:Train: [6: 1125/1125]  train_loss=6.758  val_loss=11.05
INFO:Train: [6: 1125/1125]  train_loss=5.76e+04  val_loss=11.05
INFO:Train: [7: 25/1125]  train_loss=11.72  val_loss=11.05
INFO:Train: [7: 50/1125]  train_loss=9.985  val_loss=11.05
INFO:Train: [7: 75/1125]  train_loss=7.746  val_loss=11.05
INFO:Train: [7: 100/1125]  train_loss=8.155  val_loss=11.05
INFO:Train: [7: 125/1125]  train_loss=5.251  val_loss=11.05
INFO:Train: [7: 150/1125]  train_loss=6.291  val_loss=11.05
INFO:Train: [7: 175/1125]  train_loss=7.199  val_loss=11.05
INFO:Train: [7: 200/1125]  train_loss=7.576  val_loss=11.05
INFO:Train: [7: 225/1125]  train_loss=9.897  val_loss=11.05
INFO:Train: [7: 250/1125]  train_loss=6.039  val_loss=11.05
INFO:Train: [7: 275/1125]  train_loss=9.413  val_loss=11.05
INFO:Train: [7: 300/1125]  train_loss=1.623  val_loss=11.05
INFO:Train: [7: 325/1125]  train_loss=7.133  val_loss=11.05
INFO:Train: [7: 350/1125]  train_loss=7.846  val_loss=11.05
